,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Gberia Fotombu,SL,9.8833,-11.1667,73.54,49,16,3.76,few clouds
335,Gilgit,PK,35.9221,74.3087,57.43,43,14,4.79,few clouds
336,Ballina,AU,-28.8667,153.5667,80.78,78,35,5.99,scattered clouds
337,Derzhavinsk,KZ,51.1,66.3167,38.28,78,100,10.85,overcast clouds
338,Poya,NC,-21.35,165.15,82.36,80,100,4.32,overcast clouds
339,Gimli,CA,50.6336,-96.9907,32.02,74,87,4.61,overcast clouds
340,Serenje,ZM,-13.2325,30.2352,59.68,95,34,1.79,scattered clouds
341,Aripuana,BR,-9.1667,-60.6333,74.3,94,98,1.79,overcast clouds
342,Nuuk,GL,64.1835,-51.7216,34.41,86,7,13.8,clear sky
343,Akureyri,IS,65.6835,-18.0878,31.93,69,100,3.44,overcast clouds
344,Te Anau,NZ,-45.4167,167.7167,70.81,33,50,1.34,scattered clouds
345,Narsimhapur,IN,22.95,79.2,90.7,13,3,7.07,clear sky
346,Namibe,AO,-15.1961,12.1522,69.26,82,85,8.95,overcast clouds
347,Yashalta,RU,46.3395,42.2762,47.07,75,28,21.99,scattered clouds
