City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Thompson,CA,2022-03-31 20:21:55,55.7435,-97.8558,41.16,33,75,10.36
181,Garden City,US,2022-03-31 20:18:18,42.3256,-83.331,46.65,70,100,23.02
182,La Ronge,CA,2022-03-31 20:21:56,55.1001,-105.2842,37.65,44,100,11.5
183,Ahipara,NZ,2022-03-31 20:21:57,-35.1667,173.1667,64.53,80,90,2.53
184,Baiyin,CN,2022-03-31 20:21:57,36.5583,104.2081,42.51,26,92,6.31
185,Kaitangata,NZ,2022-03-31 20:21:57,-46.2817,169.8464,47.1,72,100,3.51
186,Jos,NG,2022-03-31 20:21:58,9.9167,8.9,76.48,10,91,4.38
187,Severo-Kurilsk,RU,2022-03-31 20:22:58,50.6789,156.125,28.36,81,81,15.41
188,Lagoa,PT,2022-03-31 20:22:59,39.05,-27.9833,61.63,87,98,11.23
189,Korla,CN,2022-03-31 20:23:00,41.7597,86.1469,47.57,43,2,1.66
190,Sao Filipe,CV,2022-03-31 20:23:00,14.8961,-24.4956,71.67,76,6,12.66
191,Tangshan,CN,2022-03-31 20:23:00,39.6333,118.1833,39.6,27,1,3.83
192,Tefe,BR,2022-03-31 20:23:01,-3.3542,-64.7114,89.71,66,20,2.3
193,New Norfolk,AU,2022-03-31 20:23:01,-42.7826,147.0587,53.1,72,100,1.63
194,Kiruna,SE,2022-03-31 20:23:02,67.8557,20.2251,7.72,78,30,3.44
195,Peterhead,GB,2022-03-31 20:23:03,57.5058,-1.7981,34.2,69,51,15.59
196,Kloulklubed,PW,2022-03-31 20:23:03,7.0419,134.2556,75.7,81,100,8.68
197,Bidar,IN,2022-03-31 20:23:04,17.9,77.55,83.44,19,0,4.65
198,Shunyi,CN,2022-03-31 20:23:04,40.125,116.6453,30.15,59,0,4.47
199,Saldanha,ZA,2022-03-31 20:23:05,-33.0117,17.9442,60.85,77,2,22.95
200,Kavaratti,IN,2022-03-31 20:23:05,10.5669,72.642,83.26,77,8,10.54
201,Celestun,MX,2022-03-31 20:23:06,20.8667,-90.4,82.98,74,3,12.86
202,East London,ZA,2022-03-31 20:20:17,-33.0153,27.9116,67.48,94,100,1.41
203,San Quintin,MX,2022-03-31 20:23:08,30.4833,-115.95,62.96,62,0,19.46
204,Cabedelo,BR,2022-03-31 20:23:08,-6.9811,-34.8339,83.07,77,68,11.7
205,Samarai,PG,2022-03-31 20:23:09,-10.6167,150.6667,81.25,82,100,14.32
206,Egvekinot,RU,2022-03-31 20:23:09,66.3167,-179.1667,5.67,87,98,17.96
207,Port Macquarie,AU,2022-03-31 20:23:10,-31.4333,152.9167,61.9,83,98,17.18
208,Victoria,HK,2022-03-31 20:21:22,22.2855,114.1577,72.18,88,100,5.99
209,Yauya,PE,2022-03-31 20:23:11,-8.9833,-77.3,59.7,57,100,4.36
210,Nara,JP,2022-03-31 20:21:20,34.6851,135.8049,46.49,47,100,7.76
211,Dabwali,IN,2022-03-31 20:23:12,29.95,74.7333,74.48,11,0,8.52
212,Xingyi,CN,2022-03-31 20:23:13,24.1877,102.817,49.87,88,100,5.19
213,Kalofer,BG,2022-03-31 20:23:13,42.6167,24.9833,60.12,80,96,2.95
214,Brae,GB,2022-03-31 20:23:14,60.3964,-1.353,38.5,63,90,14.45
215,Bethanien,NA,2022-03-31 20:23:15,-26.502,17.1583,75.54,28,0,6.93
216,Sumbe,AO,2022-03-31 20:23:16,-11.2061,13.8437,78.33,88,100,6.87
217,Axim,GH,2022-03-31 20:23:17,4.8699,-2.2405,81.39,85,100,7.81
218,Barwadih,IN,2022-03-31 20:23:17,23.8333,84.1167,75.94,20,0,3.0
219,Houma,US,2022-03-31 20:21:09,29.5958,-90.7195,75.0,46,0,9.22
220,Ornskoldsvik,SE,2022-03-31 20:23:18,63.2909,18.7153,20.35,100,97,1.14
221,Na Wa,TH,2022-03-31 20:23:19,17.4897,104.1006,76.69,70,100,6.46
222,Port-Cartier,CA,2022-03-31 20:23:19,50.0334,-66.8654,35.74,91,100,4.05
223,Christchurch,NZ,2022-03-31 20:23:04,-43.5333,172.6333,53.94,91,100,13.8
224,Saint Paul,US,2022-03-31 20:22:35,44.9444,-93.0933,36.45,64,100,16.11
225,Cascais,PT,2022-03-31 20:23:20,38.6979,-9.4215,57.06,69,75,20.0
226,Rockhampton,AU,2022-03-31 20:23:21,-23.3833,150.5,71.49,78,40,10.36
227,Port Lincoln,AU,2022-03-31 20:23:22,-34.7333,135.8667,60.1,68,19,22.53
228,Puerto Narino,CO,2022-03-31 20:23:22,-3.7703,-70.3831,83.8,82,100,3.22
229,Sidi Ali,DZ,2022-03-31 20:24:23,36.0998,0.4206,54.45,77,43,16.35
230,Lorengau,PG,2022-03-31 20:24:23,-2.0226,147.2712,80.55,81,100,14.2
231,Shimoda,JP,2022-03-31 20:24:24,34.6667,138.95,43.11,91,100,19.26
232,Port Keats,AU,2022-03-31 20:24:25,-14.25,129.55,80.15,75,100,5.17
